ensembl_id	gene_name	chr	start	end	score	strand	frame	gene_type	transcript_id.s.	GC1|expected_count	GC2|expected_count	GC3|expected_count	MG1|expected_count	MG2|expected_count	MG3|expected_count	GC1|TPM	GC2|TPM	GC3|TPM	MG1|TPM	MG2|TPM	MG3|TPM	GC1|FPKM	GC2|FPKM	GC3|FPKM	MG1|FPKM	MG2|FPKM	MG3|FPKM
ENSMUSG00000015357.10	Clpx	chr9	65294260	65330658	.	+	.	protein_coding	ENSMUST00000015501.10,ENSMUST00000113824.7	301	131	273	219	237	297	8.49	3.64	6.66	8.84	8.37	10.5	17.54	7.26	15.12	12.43	12.41	13.9
ENSMUSG00000015363.13	Trabd	chr15	89075124	89087077	.	+	.	protein_coding	ENSMUST00000081702.11,ENSMUST00000165690.1,ENSMUST00000169891.7	204	223	217	258	357	323	8.07	9.23	8.8	14.51	16.33	14.99	16.69	18.39	19.99	20.38	24.2	19.85
ENSMUSG00000015365.15	Mov10l1	chr15	88982909	89055152	.	+	.	protein_coding	ENSMUST00000015509.10,ENSMUST00000146993.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015377.10	Dennd6b	chr15	89182213	89196496	.	-	.	protein_coding	ENSMUST00000078953.8	77	35	52	50	55	67	1.32	0.58	0.77	1.22	1.18	1.45	2.72	1.16	1.74	1.72	1.75	1.92
ENSMUSG00000015396.4	Cd83	chr13	43784775	43803132	.	+	.	protein_coding	ENSMUST00000015540.3	13	40	35	7	18	6	0.43	1.29	1	0.33	0.75	0.25	0.89	2.57	2.27	0.46	1.1	0.33
ENSMUSG00000015401.12	Cltrn	chrX	164088830	164118860	.	+	.	protein_coding	ENSMUST00000015545.9,ENSMUST00000112280.7	0	5	0	1	0	0	0	0.35	0	0.1	0	0	0	0.7	0	0.14	0	0
ENSMUSG00000015405.15	Ace2	chrX	164139332	164188420	.	+	.	protein_coding	ENSMUST00000073973.10,ENSMUST00000112271.9	3	0	3	2	4	8	0.07	0	0.06	0.07	0.12	0.24	0.14	0	0.14	0.09	0.17	0.31
ENSMUSG00000015437.5	Gzmb	chr14	56258838	56262260	.	-	.	protein_coding	ENSMUST00000015581.5	0	0	0	1	0	1	0	0	0	0.09	0	0.08	0	0	0	0.12	0	0.1
ENSMUSG00000015441.4	Gzmf	chr14	56205263	56211417	.	-	.	protein_coding	ENSMUST00000022757.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015443.9	Gzmn	chr14	56165797	56174599	.	-	.	protein_coding	ENSMUST00000015587.8,ENSMUST00000225535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015451.16	C4a	chr17	34809092	34823464	.	-	.	processed_transcript	ENSMUST00000160679.7	2.61	1.34	1.29	3.92	2.61	3.88	0.04	0.02	0.02	0.08	0.05	0.07	0.08	0.04	0.04	0.11	0.07	0.09
ENSMUSG00000015452.14	Ager	chr17	34597862	34600936	.	+	.	protein_coding	ENSMUST00000015596.9,ENSMUST00000173992.7,ENSMUST00000174496.8	4	0	4	1	0	0	0.26	0	0.25	0.09	0	0	0.54	0	0.57	0.13	0	0
ENSMUSG00000015461.15	Atf6b	chr17	34647146	34655074	.	+	.	protein_coding	ENSMUST00000015605.14,ENSMUST00000173984.1	129	165	126	109	178	136	4.45	5.4	3.59	5.1	7.4	5.82	9.2	10.76	8.15	7.16	10.97	7.7
ENSMUSG00000015467.14	Egfl8	chr17	34613349	34615971	.	-	.	protein_coding	ENSMUST00000015611.13,ENSMUST00000097345.9	19.54	0	6	8	2	1	1.56	0	0.46	0.9	0.22	0.11	3.23	0	1.04	1.27	0.32	0.15
ENSMUSG00000015468.14	Notch4	chr17	34564268	34588503	.	+	.	protein_coding	ENSMUST00000015612.13	347	209	267	178	249	301	4.06	2.39	2.7	2.99	3.68	4.46	8.4	4.76	6.13	4.2	5.45	5.91
ENSMUSG00000015474.16	Ppt2	chr17	34616662	34628510	.	-	.	protein_coding	ENSMUST00000064953.14,ENSMUST00000166040.8,ENSMUST00000168391.8,ENSMUST00000169067.8,ENSMUST00000171121.8,ENSMUST00000171376.7	114.83	104.91	140	81	144	142	5.87	5.1	6.51	5.87	9.13	9.99	12.14	10.17	14.79	8.24	13.53	13.22
ENSMUSG00000015476.6	Prrt1	chr17	34629533	34633126	.	+	.	protein_coding	ENSMUST00000015620.6	3	17	0	3	3	2	0.13	0.72	0	0.19	0.16	0.11	0.27	1.44	0	0.26	0.24	0.14
ENSMUSG00000015478.13	Rnf5	chr17	34601091	34603690	.	-	.	protein_coding	ENSMUST00000015622.7	51	63	15	48	69	74	3.73	4.51	0.95	4.96	6.25	6.76	7.71	8.99	2.16	6.97	9.27	8.95
ENSMUSG00000015484.3	Fam163a	chr1	156075966	156205026	.	-	.	protein_coding	ENSMUST00000015628.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015488.14	Cacfd1	chr2	27009926	27021089	.	+	.	protein_coding	ENSMUST00000114003.1,ENSMUST00000114004.7,ENSMUST00000114005.8,ENSMUST00000114006.7,ENSMUST00000114007.7	105	183	131	146	186	180	3.25	6.53	4.29	7.38	7.39	7.73	6.72	13.02	9.75	10.37	10.96	10.23
ENSMUSG00000015501.10	Hivep2	chr10	13966075	14151374	.	+	.	protein_coding	ENSMUST00000015645.10,ENSMUST00000187083.6,ENSMUST00000191138.6	917	1748	975	790	767	829	7.22	13.42	6.66	8.99	7.6	8.25	14.92	26.74	15.13	12.63	11.27	10.93
ENSMUSG00000015519.12	2310057J18Rik	chr10	28972288	28986303	.	-	.	protein_coding	ENSMUST00000015663.6,ENSMUST00000140558.7,ENSMUST00000152363.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015522.18	Arnt	chr3	95434388	95497240	.	+	.	protein_coding	ENSMUST00000015666.16,ENSMUST00000090804.11,ENSMUST00000102749.10,ENSMUST00000107160.7,ENSMUST00000107161.7	519	676	389	405	417	424	12.41	15.42	7.81	13.24	12.88	12.64	25.65	30.73	17.73	18.6	19.09	16.73
ENSMUSG00000015533.9	Itga2	chr13	114833081	114932100	.	-	.	protein_coding	ENSMUST00000056117.9	29	249	106	18	32	12	0.31	2.63	0.99	0.28	0.44	0.16	0.65	5.25	2.25	0.39	0.65	0.22
ENSMUSG00000015536.14	Mocs2	chr13	114818236	114832275	.	+	.	protein_coding	ENSMUST00000015680.10,ENSMUST00000164737.7,ENSMUST00000165022.8,ENSMUST00000166104.8,ENSMUST00000166176.8,ENSMUST00000183407.1,ENSMUST00000184214.7,ENSMUST00000184245.7,ENSMUST00000184335.7,ENSMUST00000184672.7,ENSMUST00000184781.7	153	242	172	97	109	108	9.78	14.92	10.28	10.43	10.11	8.6	20.22	29.73	23.36	14.65	14.99	11.38
ENSMUSG00000015542.17	Nat9	chr11	115182832	115187859	.	-	.	protein_coding	ENSMUST00000103038.7,ENSMUST00000103040.10,ENSMUST00000103041.7	39	40	51	51	46	68	3.15	2.96	3.56	5.98	4.61	6.48	6.5	5.9	8.08	8.4	6.83	8.59
ENSMUSG00000015568.16	Lpl	chr8	68880491	68907448	.	+	.	protein_coding	ENSMUST00000015712.14	5870	2723	4692	1207	2147	2372	112.4	50.92	77.59	33.09	51.76	57.43	232.31	101.48	176.25	46.49	76.72	76.04
ENSMUSG00000015575.14	Atp6v0e	chr17	26676396	26699644	.	+	.	protein_coding	ENSMUST00000015719.14,ENSMUST00000167352.1	143	223	125	115	160	109	16.16	25.42	10.69	17.99	24.35	16.73	33.4	50.66	24.29	25.27	36.1	22.16
ENSMUSG00000015579.4	Nkx2-5	chr17	26838664	26841565	.	-	.	protein_coding	ENSMUST00000015723.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015597.17	Zfp318	chr17	46383731	46420920	.	+	.	protein_coding	ENSMUST00000113481.8,ENSMUST00000138127.7	230	310	226	154	165	238	2.45	2.41	1.56	2.23	2.3	3.02	5.07	4.8	3.54	3.13	3.41	3.99
ENSMUSG00000015599.9	Ttbk1	chr17	46442448	46487675	.	-	.	protein_coding	ENSMUST00000047034.8,ENSMUST00000225808.1	6	0	3	0	0	0	0.07	0	0.03	0	0	0	0.14	0	0.07	0	0	0
ENSMUSG00000015605.6	Srf	chr17	46548329	46556175	.	-	.	protein_coding	ENSMUST00000015749.6	273	151	388	543	687	625	8.49	4.59	10.43	24.12	26.82	24.52	17.56	9.15	23.69	33.89	39.75	32.47
ENSMUSG00000015619.10	Gata3	chr2	9857078	9890034	.	-	.	protein_coding	ENSMUST00000102976.3	23	0	11	1	2	0	0.57	0	0.24	0.04	0.06	0	1.18	0	0.54	0.05	0.09	0
ENSMUSG00000015627.5	Gata5	chr2	180325133	180334699	.	-	.	protein_coding	ENSMUST00000015771.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015647.9	Lama5	chr2	180176373	180225859	.	-	.	protein_coding	ENSMUST00000015791.5	1168	450	574	839	998	1079	7.8	2.93	3.31	8.05	8.43	9.14	16.13	5.85	7.52	11.31	12.49	12.1
ENSMUSG00000015652.9	Steap1	chr5	5736317	5749326	.	-	.	protein_coding	ENSMUST00000015796.8	0	4	0	1	1	0	0	0.29	0	0.1	0.09	0	0	0.58	0	0.15	0.14	0
ENSMUSG00000015653.13	Steap2	chr5	5664829	5694578	.	-	.	protein_coding	ENSMUST00000015797.10,ENSMUST00000115424.8,ENSMUST00000115425.8,ENSMUST00000115426.8,ENSMUST00000115427.7,ENSMUST00000164219.7	46	86	29	22	17	15	0.61	1.36	0.53	0.55	0.4	0.43	1.26	2.7	1.19	0.77	0.59	0.57
ENSMUSG00000015656.17	Hspa8	chr9	40800984	40810087	.	+	.	protein_coding	ENSMUST00000015800.15,ENSMUST00000117557.7	5218.91	4936.92	5215.24	16213.24	12912.97	9989.26	190.18	176.65	167.23	850.22	593.7	459.24	393.07	352.04	379.85	1194.55	880.01	608.03
ENSMUSG00000015659.12	Serac1	chr17	6042196	6079741	.	-	.	protein_coding	ENSMUST00000024570.5,ENSMUST00000097432.9	33	54	26	40	33	34	0.65	1.04	0.44	1.49	1.08	0.85	1.35	2.07	1	2.09	1.6	1.12
ENSMUSG00000015665.8	Awat1	chrX	100572251	100578205	.	+	.	protein_coding	ENSMUST00000096361.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015668.13	Pdzd11	chrX	100622883	100626568	.	-	.	protein_coding	ENSMUST00000015812.11,ENSMUST00000059099.6	34	76	41	23	50	29	2.83	5.96	2.68	2.72	4.87	2.77	5.84	11.88	6.08	3.82	7.22	3.67
ENSMUSG00000015671.11	Psma2	chr13	14613240	14674236	.	+	.	protein_coding	ENSMUST00000170836.3	255	210	240	344.74	476	357	7.07	5.68	5.74	13.65	16.56	12.48	14.6	11.33	13.05	19.18	24.55	16.53
ENSMUSG00000015672.4	Mrpl32	chr13	14608184	14613165	.	-	.	protein_coding	ENSMUST00000220621.1	62	51	56	64	84	85	1.66	1.33	1.29	2.44	2.82	2.86	3.42	2.65	2.93	3.43	4.18	3.79
ENSMUSG00000015697.14	Setdb1	chr3	95323525	95357202	.	-	.	protein_coding	ENSMUST00000015841.11,ENSMUST00000107170.2,ENSMUST00000107171.9	149.99	169	167	162.94	159	178.79	2.54	2.8	2.44	3.95	3.39	3.87	5.25	5.57	5.55	5.55	5.02	5.12
ENSMUSG00000015702.13	Anxa9	chr3	95296096	95307176	.	-	.	protein_coding	ENSMUST00000015846.8,ENSMUST00000107183.7,ENSMUST00000164406.7	4	2	11	1	0	11	0.21	0.1	0.51	0.08	0	0.63	0.44	0.21	1.16	0.11	0	0.84
ENSMUSG00000015709.9	Arnt2	chr7	84246278	84410176	.	-	.	protein_coding	ENSMUST00000085077.4,ENSMUST00000208232.1,ENSMUST00000209133.1	130	98	287	21	11	0	1.66	1.2	3.17	0.39	0.18	0	3.44	2.4	7.21	0.54	0.26	0
ENSMUSG00000015711.8	Prune1	chr3	95253674	95282076	.	-	.	protein_coding	ENSMUST00000015855.7	222	93	246	157	257	216	5.67	2.32	5.43	5.73	8.25	6.96	11.72	4.62	12.33	8.05	12.22	9.22
ENSMUSG00000015714.11	Cers2	chr3	95314791	95323599	.	+	.	protein_coding	ENSMUST00000015858.11	256	373	262	187	185	165	9.56	13.61	8.45	9.96	8.65	7.76	19.76	27.13	19.2	13.99	12.82	10.27
ENSMUSG00000015721.18	Nlrp5	chr7	23385889	23441922	.	+	.	protein_coding	ENSMUST00000015866.13,ENSMUST00000086341.11,ENSMUST00000108441.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015733.13	Capza2	chr6	17636234	17666972	.	+	.	protein_coding	ENSMUST00000015877.13	443	299	505	542	653	714	14.25	9.4	14.04	24.89	26.35	28.96	29.46	18.73	31.89	34.97	39.06	38.35
ENSMUSG00000015745.9	Plekho1	chr3	95988429	95996001	.	-	.	protein_coding	ENSMUST00000015889.9	152	129	131	523	371	452	6.62	5.49	4.93	32.43	20.2	24.75	13.68	10.95	11.2	45.57	29.94	32.77
ENSMUSG00000015747.5	Vps45	chr3	95999832	96058466	.	-	.	protein_coding	ENSMUST00000015891.5	41	91	29	35	63	83	1.26	2.74	0.77	1.54	2.44	3.23	2.61	5.47	1.76	2.17	3.61	4.27
ENSMUSG00000015748.13	Prpf3	chr3	95830124	95855885	.	-	.	protein_coding	ENSMUST00000015892.13,ENSMUST00000161476.7	104	98	73	94	114	116	2.97	2.63	1.73	3.9	4.02	4.15	6.13	5.24	3.94	5.48	5.96	5.5
ENSMUSG00000015749.12	Anp32e	chr3	95929246	95947390	.	+	.	protein_coding	ENSMUST00000015893.12,ENSMUST00000165307.7,ENSMUST00000168106.7,ENSMUST00000169426.7,ENSMUST00000170125.1,ENSMUST00000171368.7	235	191	297	363	457	504	6.17	7.04	7.85	14.67	19.08	17.72	12.76	14.03	17.83	20.62	28.28	23.47
ENSMUSG00000015750.15	Aph1a	chr3	95893969	95898288	.	+	.	protein_coding	ENSMUST00000015894.11,ENSMUST00000056710.9	333.66	445	363	361	529.86	486.85	12.01	16.33	13.46	21.07	24.18	20.72	24.83	32.54	30.58	29.6	35.84	27.43
ENSMUSG00000015755.16	Tab2	chr10	7905653	7956230	.	-	.	protein_coding	ENSMUST00000146444.7	422	467	431	394	508	585	7.57	8.18	6.67	10.12	11.47	13.27	15.64	16.29	15.16	14.21	17	17.57
ENSMUSG00000015757.10	Ppil4	chr10	7792891	7823135	.	+	.	protein_coding	ENSMUST00000015901.10	79	104	120	74	80	86	1.81	2.33	2.38	2.43	2.31	2.49	3.75	4.64	5.4	3.41	3.42	3.3
ENSMUSG00000015759.11	Cnih1	chr14	46775567	46788411	.	-	.	protein_coding	ENSMUST00000015903.11,ENSMUST00000146629.2	120	165	92	120	179	163	6.78	10.66	4.5	9.63	12.6	11.55	14.02	21.24	10.21	13.53	18.67	15.29
ENSMUSG00000015766.14	Eps8	chr6	137477245	137654876	.	-	.	protein_coding	ENSMUST00000058210.12,ENSMUST00000100841.8,ENSMUST00000111878.7	184	340	104	194	164	197	3.77	6.68	1.98	5.68	4.33	5.19	7.78	13.31	4.5	7.97	6.41	6.87
ENSMUSG00000015776.12	Med22	chr2	26905262	26910677	.	-	.	protein_coding	ENSMUST00000015920.11,ENSMUST00000102899.9	143	263	153	126	166	136	4.91	7.06	5.52	7.09	7.66	6.43	10.14	14.06	12.54	9.96	11.36	8.51
ENSMUSG00000015787.15	Abo	chr2	26842503	26864979	.	-	.	protein_coding	ENSMUST00000102900.1,ENSMUST00000114045.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015790.16	Surf1	chr2	26913381	26916530	.	-	.	protein_coding	ENSMUST00000015934.12	92	138	105	77	114	99	7.19	10.56	7.1	8.5	11.02	9.64	14.85	21.04	16.12	11.94	16.33	12.77
ENSMUSG00000015804.14	Med28	chr5	45520229	45529276	.	+	.	protein_coding	ENSMUST00000118833.2,ENSMUST00000119579.2,ENSMUST00000156481.7	120	103	86	117	200	140	8.94	5.61	4.67	15.67	20.13	13.57	18.48	11.19	10.61	22.02	29.84	17.96
ENSMUSG00000015806.12	Qdpr	chr5	45434021	45450236	.	-	.	protein_coding	ENSMUST00000015950.11,ENSMUST00000117425.7,ENSMUST00000118097.7,ENSMUST00000120867.7,ENSMUST00000197946.4,ENSMUST00000198258.4	163	136	105	103	135	137	10.99	8.67	5.83	9.37	11.07	11.11	22.71	17.28	13.24	13.17	16.41	14.71
ENSMUSG00000015812.8	Gnrh1	chr14	67745181	67749439	.	+	.	protein_coding	ENSMUST00000111095.3,ENSMUST00000223929.1,ENSMUST00000223951.1	2	0	0	3	4	1	0.77	0	0	1.45	1.71	0.41	1.58	0	0	2.04	2.53	0.55
ENSMUSG00000015829.13	Tnr	chr1	159523769	159931729	.	+	.	protein_coding	ENSMUST00000111669.8,ENSMUST00000192069.5	0	1	0	1	0	0	0	0.01	0	0.01	0	0	0	0.01	0	0.01	0	0
ENSMUSG00000015837.15	Sqstm1	chr11	50199366	50210827	.	-	.	protein_coding	ENSMUST00000015981.11,ENSMUST00000102774.10,ENSMUST00000143379.1	2118	1925	2232	4137	5021	3977	86.29	76.84	78.39	240.56	256.23	204.08	178.35	153.12	178.05	337.99	379.79	270.21
ENSMUSG00000015839.6	Nfe2l2	chr2	75675513	75704641	.	-	.	protein_coding	ENSMUST00000102672.4	283	435	231	281	322	257	9.36	14.05	6.6	13.26	13.35	10.71	19.34	28.01	14.99	18.63	19.78	14.18
ENSMUSG00000015843.10	Rxrg	chr1	167598384	167639623	.	+	.	protein_coding	ENSMUST00000015987.9,ENSMUST00000111380.1,ENSMUST00000111384.7,ENSMUST00000111386.7	56	35	95	43	34	77	2.91	1.81	4.27	2.83	2.18	5.1	6.01	3.6	9.7	3.97	3.23	6.75
ENSMUSG00000015846.14	Rxra	chr2	27676440	27762957	.	+	.	protein_coding	ENSMUST00000077257.11,ENSMUST00000100251.8,ENSMUST00000113934.1,ENSMUST00000166775.7	779	873	777	513	809	795	14.49	16.73	13.21	13.78	19.75	18.96	29.95	33.34	30.01	19.36	29.27	25.11
ENSMUSG00000015850.11	Adamtsl4	chr3	95676201	95687917	.	-	.	protein_coding	ENSMUST00000015994.3,ENSMUST00000117782.7	392	785	315	225	255	410	7.95	15.57	5.56	6.53	6.48	10.36	16.44	31.03	12.64	9.18	9.61	13.71
ENSMUSG00000015852.13	Fcrls	chr3	87250758	87263738	.	-	.	protein_coding	ENSMUST00000090986.10	21	55	23	27	23	37	0.76	1.95	0.72	1.4	1.05	1.69	1.58	3.89	1.64	1.96	1.55	2.24
ENSMUSG00000015854.7	Cd5l	chr3	87357881	87371073	.	+	.	protein_coding	ENSMUST00000015998.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000015869.16	Prpsap1	chr11	116470845	116494202	.	-	.	protein_coding	ENSMUST00000106391.7	95	192	83	79	80	95	4.37	8.63	3.3	5.17	4.59	5.49	9.03	17.2	7.49	7.26	6.81	7.27
ENSMUSG00000015879.8	Fam184b	chr5	45529705	45639614	.	-	.	protein_coding	ENSMUST00000016023.8	10	0	28	1	3	0	0.19	0	0.45	0.03	0.07	0	0.38	0	1.02	0.04	0.1	0
ENSMUSG00000015880.13	Ncapg	chr5	45669919	45700546	.	+	.	protein_coding	ENSMUST00000117396.2	2	0	8	2	2	8	0.04	0	0.15	0.06	0.05	0.22	0.09	0	0.34	0.09	0.08	0.29
ENSMUSG00000015882.17	Lcorl	chr5	45697181	45857615	.	-	.	protein_coding	ENSMUST00000016026.13,ENSMUST00000045586.12,ENSMUST00000087164.9,ENSMUST00000121573.7	38	45	28	58	51	54	0.61	0.66	0.39	1.32	1.15	1.04	1.26	1.32	0.88	1.86	1.71	1.38
ENSMUSG00000015889.8	Lta4h	chr10	93453411	93484875	.	+	.	protein_coding	ENSMUST00000016033.8	157	224	160	105	163	120	6.47	9.02	5.7	6.16	8.4	6.22	13.37	17.98	12.94	8.66	12.45	8.23
ENSMUSG00000015890.2	Amdhd1	chr10	93523338	93540033	.	-	.	protein_coding	ENSMUST00000016034.2	0	0	0	0	1	0	0	0	0	0	0.04	0	0	0	0	0	0.06	0
ENSMUSG00000015932.8	Dstn	chr2	143915320	143943324	.	+	.	protein_coding	ENSMUST00000103172.3	760	1048	342	290	490	371	33.49	45.16	13.03	18.19	26.99	20.55	69.22	89.99	29.59	25.56	40	27.21
ENSMUSG00000015937.15	H2afy	chr13	56073619	56136361	.	-	.	protein_coding	ENSMUST00000016081.12,ENSMUST00000045788.8	204	222	197	216	278	308	8.82	9.35	7.32	13.04	15.01	16.62	18.23	18.64	16.62	18.31	22.24	22
ENSMUSG00000015942.9	Gtf2ird2	chr5	134184019	134224355	.	+	.	protein_coding	ENSMUST00000016086.9	34	83	31	52	59	45	0.78	1.85	0.61	1.7	1.7	1.3	1.61	3.69	1.39	2.39	2.51	1.72
ENSMUSG00000015943.11	Bola1	chr3	96196588	96219709	.	-	.	protein_coding	ENSMUST00000016087.3,ENSMUST00000107099.7,ENSMUST00000177442.1	32	33	20	51	44	51	4.89	4.99	2.73	10.94	7.95	9.82	10.1	9.94	6.2	15.37	11.78	13.01
ENSMUSG00000015944.9	Castor2	chr5	134099711	134144343	.	+	.	protein_coding	ENSMUST00000016088.8	348	264	390	121	254	233	3.63	2.69	3.52	1.81	3.35	3.08	7.51	5.36	7.98	2.55	4.96	4.08
ENSMUSG00000015947.10	Fcgr1	chr3	96282909	96293969	.	-	.	protein_coding	ENSMUST00000029748.7	5	10	1	32	20	6	0.16	0.31	0.03	1.44	0.79	0.24	0.33	0.61	0.06	2.02	1.17	0.32
ENSMUSG00000015950.13	Ncf1	chr5	134220053	134229625	.	-	.	protein_coding	ENSMUST00000016094.12,ENSMUST00000111275.7,ENSMUST00000144086.1	37	97	38	92	98	83	1.1	2.83	0.98	3.92	3.66	3.12	2.27	5.63	2.22	5.5	5.43	4.12
ENSMUSG00000015957.12	Wnt11	chr7	98835112	98855195	.	+	.	protein_coding	ENSMUST00000067495.8,ENSMUST00000167303.7	55	137	47	88	60	88	2.19	5.43	1.32	5.28	2.98	4.41	4.53	10.81	2.99	7.42	4.41	5.84
ENSMUSG00000015961.8	Adss	chr1	177762962	177796511	.	-	.	protein_coding	ENSMUST00000016105.8	103	161	68	121	98	131	3.01	4.6	1.72	5.05	3.6	4.83	6.22	9.16	3.9	7.1	5.33	6.4
ENSMUSG00000015962.5	1700016C15Rik	chr1	177729814	177753324	.	+	.	protein_coding	ENSMUST00000016106.5	8	0	0	0	0	0	1.08	0	0	0	0	0	2.24	0	0	0	0	0
ENSMUSG00000015966.17	Il17rb	chr14	29996135	30008896	.	-	.	protein_coding	ENSMUST00000016110.12,ENSMUST00000122205.8	5	6	4	0	0	1	0.2	0.24	0.14	0	0	0.05	0.42	0.47	0.32	0	0	0.07
ENSMUSG00000015968.17	Cacna1d	chr14	30039939	30491455	.	-	.	protein_coding	ENSMUST00000112249.8,ENSMUST00000112250.4,ENSMUST00000223803.1,ENSMUST00000224198.1,ENSMUST00000224785.1	7	26	12	25	12	23	0.07	0.29	0.1	0.34	0.18	0.26	0.15	0.58	0.22	0.48	0.27	0.34
ENSMUSG00000015970.19	Chdh	chr14	30009023	30040527	.	+	.	protein_coding	ENSMUST00000067620.11,ENSMUST00000118917.1	178	336	87	19	19	66	2.62	5.53	1.37	0.37	0.33	1.27	5.42	11.03	3.12	0.52	0.48	1.68
ENSMUSG00000015971.5	Actr8	chr14	29978337	30006354	.	+	.	protein_coding	ENSMUST00000016115.5,ENSMUST00000224797.1	174	131	112	108	185	125	6.83	5.03	3.8	6.04	9.09	6.17	14.12	10.02	8.63	8.49	13.47	8.18
ENSMUSG00000015980.14	Lrrc27	chr7	139212988	139242979	.	+	.	protein_coding	ENSMUST00000016124.14,ENSMUST00000106104.7	10	0	7	3	8	0	0.4	0	0.24	0.17	0.39	0	0.83	0	0.54	0.24	0.58	0
ENSMUSG00000015981.12	Stk32c	chr7	139103638	139213307	.	-	.	protein_coding	ENSMUST00000016125.11,ENSMUST00000165870.1	12	58	43	22	23	7	0.45	2.13	1.51	1.18	1.08	0.33	0.93	4.24	3.43	1.65	1.6	0.44
ENSMUSG00000015994.10	Fnta	chr8	25998722	26015650	.	-	.	protein_coding	ENSMUST00000016138.10	237	276	245	276	347	345	10.33	11.76	9.23	17.12	18.9	18.9	21.35	23.44	20.96	24.06	28.02	25.03
ENSMUSG00000016018.4	Mtrex	chr13	112867418	112927398	.	-	.	protein_coding	ENSMUST00000022281.4	232	271	169	251	299	281	4.99	5.69	3.14	7.72	8.09	7.63	10.31	11.34	7.13	10.85	11.99	10.11
ENSMUSG00000016024.9	Lbp	chr2	158306493	158332852	.	+	.	protein_coding	ENSMUST00000016168.8,ENSMUST00000109491.7	354	1400	270	119	165	76	11.71	44.63	7.54	5.56	6.86	3.17	24.19	88.94	17.14	7.81	10.16	4.19
ENSMUSG00000016028.10	Celsr1	chr15	85898929	86033777	.	-	.	protein_coding	ENSMUST00000016172.8	75	75	74	12	16	10	0.52	0.51	0.45	0.12	0.14	0.09	1.09	1.02	1.02	0.17	0.21	0.12
ENSMUSG00000016087.13	Fli1	chr9	32422204	32542861	.	-	.	protein_coding	ENSMUST00000016231.13	248	250	175	125	182	235	5.97	5.88	3.64	4.3	5.51	7.14	12.34	11.71	8.26	6.05	8.16	9.46
ENSMUSG00000016128.14	Stard13	chr5	151037510	151233836	.	-	.	protein_coding	ENSMUST00000062015.14,ENSMUST00000110483.8,ENSMUST00000202111.3	364	376	166	236	175.6	167.91	6.3	6	2.24	5.83	3.65	3.79	13.02	11.97	5.09	8.19	5.42	5.02
ENSMUSG00000016150.15	Tenm1	chrX	42527866	43429126	.	-	.	protein_coding	ENSMUST00000016294.7,ENSMUST00000115058.7,ENSMUST00000115059.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016179.11	Camk1g	chr1	193346346	193370298	.	-	.	protein_coding	ENSMUST00000016323.10,ENSMUST00000169907.7	1	0	0	7	2	16	0.04	0	0	0.42	0.11	0.86	0.09	0	0	0.6	0.16	1.14
ENSMUSG00000016181.9	Diexf	chr1	193091104	193130272	.	-	.	protein_coding	ENSMUST00000085555.6	77	78	82	84	96	107	1.07	1.06	0.99	1.68	1.69	1.89	2.22	2.12	2.24	2.36	2.5	2.5
ENSMUSG00000016194.14	Hsd11b1	chr1	193221634	193264075	.	-	.	protein_coding	ENSMUST00000016338.14,ENSMUST00000160929.7,ENSMUST00000161737.7	56	48	28	19	22	57	3.43	3.01	1.56	1.58	1.63	4.06	7.1	6	3.55	2.23	2.42	5.38
ENSMUSG00000016200.14	Syt14	chr1	192891233	193035775	.	-	.	protein_coding	ENSMUST00000016344.8,ENSMUST00000195354.5,ENSMUST00000215093.1	3	0	0	2	1	4	0.04	0	0	0.02	0.01	0.06	0.09	0	0	0.03	0.02	0.07
ENSMUSG00000016206.6	H2-M3	chr17	37270220	37274484	.	+	.	protein_coding	ENSMUST00000038580.6	18.19	43	9	9	12	10	1.11	2.57	0.48	0.78	0.91	0.77	2.3	5.13	1.08	1.1	1.35	1.01
ENSMUSG00000016239.11	Lonrf3	chrX	36328353	36362341	.	+	.	protein_coding	ENSMUST00000016383.9	41	71	75	72	59	50	1.14	1.92	1.8	2.85	2.05	1.75	2.35	3.83	4.08	4	3.04	2.31
